,Percentage,instcount,condcount,varassign,varstore,uniqload,uniqstore,globalvar,localvar,sameloadtot,samestoretot,sameloadvar,samestorevar,avgsameload,avgsamestore,functioncalls,avgFuncParam,recursiveCall,pointerAlloc,varUsed,varAssign,maxCallDepth,minCallDepth,avgCallDepth,arrayVars,arrayStore,arrayLoad,maxArraySize,minArraySize,floatTy,intTy,floatTyArith,intTyArith,intTyLog,basicBlocks,nullComp,loopCount,avgLoopDepth,avgLoopExits,loopHighInstCnt,avgBBLoops,condTrueLoops,eqCmp,tryBlock,catchBlock,avgPred,avgSucc,sideEnt
0,0.0,91,2,27,12,14,12,0,27,13,0,9,0,0.9285709999999999,0.0,13,2.92308,0,14,0.933333,0.8,1,1,1.0,10,0,1,-1,10000000000,2,12,0,0,2,3,0,0,0.0,0,0,0.0,0,1,0,0,1.33333,0,2
1,0.0,97,2,30,12,14,12,0,30,16,0,9,0,1.14286,0.0,14,2.92857,0,14,0.933333,0.8,1,1,1.0,11,0,1,-1,10000000000,2,14,0,0,2,4,0,0,0.0,0,0,0.0,0,2,0,0,1.25,0,2
2,100.0,85,1,25,12,12,12,0,25,13,0,9,0,1.08333,0.0,12,3.0,0,14,0.8,0.8,1,1,1.0,9,0,0,-1,10000000000,2,10,0,0,1,2,0,0,0.0,0,0,0.0,0,2,0,0,1.5,0,2
3,99.805,59,2,13,16,7,15,0,13,6,1,3,1,0.857143,0.0666667,0,0.0,0,12,0.388889,0.833333,0,0,0.0,2,1,0,-1,10000000000,5,15,2,1,2,6,0,2,1.5,1,0,30.5,0,2,0,0,1.16667,0,2
4,0.0974658,43,2,7,15,6,14,0,7,1,1,1,1,0.166667,0.07142860000000001,0,0.0,0,12,0.333333,0.777778,0,0,0.0,0,0,0,0,0,0,8,0,1,2,6,0,2,1.5,1,0,30.5,0,2,0,0,1.16667,0,2
5,0.0973707,66,3,15,17,8,15,0,15,7,2,3,2,0.875,0.13333299999999998,0,0.0,0,12,0.44444399999999995,0.833333,0,0,0.0,2,1,0,-1,10000000000,5,19,2,2,3,8,0,3,1.66667,1,0,33.0,0,2,0,0,1.25,0,3
6,9.508860000000001e-05,49,3,9,16,7,14,0,9,2,2,1,1,0.28571399999999997,0.14285699999999998,0,0.0,0,12,0.388889,0.777778,0,0,0.0,0,0,0,0,0,0,11,0,1,3,8,0,3,1.66667,1,0,33.0,0,2,0,0,1.25,0,3
7,9.49958e-05,72,4,17,18,9,15,0,17,8,3,3,2,0.8888889999999999,0.2,0,0.0,0,12,0.5,0.833333,0,0,0.0,2,1,0,-1,10000000000,5,22,2,2,4,10,0,4,1.75,1,0,34.0,0,2,0,0,1.3,0,4
8,9.27693e-08,55,4,11,17,8,14,0,11,3,3,1,1,0.375,0.214286,0,0.0,0,12,0.44444399999999995,0.777778,0,0,0.0,0,0,0,0,0,0,14,0,1,4,10,0,4,1.75,1,0,34.0,0,2,0,0,1.3,0,4
9,9.26788e-08,78,5,19,19,8,15,0,19,11,4,5,2,1.375,0.266667,0,0.0,0,12,0.44444399999999995,0.833333,0,0,0.0,2,1,0,-1,10000000000,5,25,2,2,5,12,0,5,1.8,1,0,34.6,0,2,0,0,1.33333,0,5
